,feature,mean,max,min,var
0,mfcc_mean_0,42.80497299822368,62.034506849315065,0.764,39.27955627894215
1,mfcc_mean_1,-0.05644304855295884,449.41195535714286,-340.1506774193548,2805.795593675682
2,mfcc_mean_2,8.778332429219033,359.89899846625764,-322.84680936729666,1431.5961087486714
3,mfcc_mean_3,2.4474832756821936,358.1402230215827,-160.892,311.31892600640003
4,mfcc_mean_4,-4.58270638423035,262.0688725490196,-181.9533671875,536.2932323776276
5,mfcc_mean_5,-8.035681078470866,166.2368855721393,-90.54024999999999,184.8345015746463
6,mfcc_mean_6,-3.1785895749782997,172.4026779661017,-188.214,231.8326934395341
7,mfcc_mean_7,-1.4196044418505231,126.74127272727273,-79.80751704545455,68.61320300719308
8,mfcc_mean_8,3.369096337996424,146.29795238095235,-172.84955172413794,120.5247750343758
9,mfcc_mean_9,2.1931412894537283,83.85808045977012,-47.29110095011877,44.40185981841364
10,mfcc_mean_10,-0.2665888287293148,88.02081818181817,-96.2816551724138,21.845370654620492
11,mfcc_mean_11,2.745337131476756,89.37091588785047,-109.08311111111111,72.94892713084704
12,pitch_mean_0,0.4486579702109404,1.0,0.003929276315789474,0.022866558560053263
13,pitch_mean_1,0.4428204779164419,1.0,0.0031891891891891897,0.024572761105524626
14,pitch_mean_2,0.36440243203555406,1.0,0.0017879341864716636,0.014038077783375784
15,pitch_mean_3,0.3055918482634536,1.0,0.000530164533820841,0.012238200461743296
16,pitch_mean_4,0.35764154900161554,1.0,0.00035283363802559415,0.015140315516940894
17,pitch_mean_5,0.3284885157562645,1.0,0.0007184643510054845,0.013374120345564748
18,pitch_mean_6,0.3331884939138781,1.0,0.0013235831809872028,0.012865031254172725
19,pitch_mean_7,0.3605167252684866,1.0,0.00206764168190128,0.014373355299626344
20,pitch_mean_8,0.3258078266398345,1.0,0.0008829981718464352,0.013348355007996438
21,pitch_mean_9,0.3581685200377721,1.0,0.0008153564899451555,0.014543548966901616
22,pitch_mean_10,0.3057967692604094,1.0,0.0011962174940898344,0.011918335383801286
23,pitch_mean_11,0.3369664889435903,1.0,0.0007919621749408984,0.013655744746671224
24,tempo,123.88921846999995,302.3,0.0,1228.9205929877803
25,loudness,-10.124039260000002,4.318,-58.178,27.011325877026664
26,mfcc_min_0,4.583629275000001,56.066,0.0,70.13240577009998
27,mfcc_max_0,51.386483887000004,64.841,1.11,19.131842800800364
28,mfcc_var_0,32.88305050622131,549.0367474435507,0.04022224256837098,461.3878302844793
29,mfcc_min_1,-148.39232251799993,331.14,-403.599,4748.783994805197
30,mfcc_max_1,193.43825398100003,669.705,-247.583,3549.5454165631168
31,mfcc_var_1,2504.9876827057697,70616.71984030555,4.574770666666669,3157683.229520215
32,mfcc_min_2,-135.002745908,257.448,-410.943,2804.900467113572
33,mfcc_max_2,155.00515374299994,474.445,-239.633,2997.639531453415
34,mfcc_var_2,2057.342449720014,38633.13696256292,1.8189308888888893,1674159.517194955
35,mfcc_min_3,-175.41229763500004,156.543,-545.064,5711.704759126698
36,mfcc_max_3,235.35142882299996,540.095,-146.495,10544.65884673226
37,mfcc_var_3,1638.6972374634156,103762.10113800001,12.387341555555551,1527929.9215360752
38,mfcc_min_4,-96.54232839400001,136.746,-369.015,944.4908750895493
39,mfcc_max_4,100.38348356999997,402.364,-104.552,1382.8642181894368
40,mfcc_var_4,935.3511497105646,21700.499405113525,0.7971941874999993,227465.35881041992
41,mfcc_min_5,-102.68986759399998,57.509,-282.04,2381.5484595390485
42,mfcc_max_5,148.82088399499997,417.564,-62.622,3290.8554284878974
43,mfcc_var_5,934.9101399721927,29191.174921999995,4.032893687499999,399594.5964591478
44,mfcc_min_6,-87.69381829600003,102.659,-283.215,663.1502516487596
45,mfcc_max_6,78.064389955,290.572,-111.556,691.889058854338
46,mfcc_var_6,630.6730925237032,11875.604918886307,2.171728222222222,105843.17668467955
47,mfcc_min_7,-83.30062983399998,89.72,-271.94,729.1757048356772
48,mfcc_max_7,103.89111653500001,325.828,-27.217,977.4115971599088
49,mfcc_var_7,542.2636464539446,13360.014560222218,1.523816,113156.11908040813
50,mfcc_min_8,-64.97580333199997,92.085,-249.306,493.7039902285038
51,mfcc_max_8,71.47041907300002,268.644,-136.651,447.05955909281494
52,mfcc_var_8,411.97475250743565,9600.398709897643,3.6783172222222227,51085.04272518154
53,mfcc_min_9,-64.31434582699997,38.903,-182.863,347.70020374871274
54,mfcc_max_9,78.928770042,245.063,-1.414,490.9488065019172
55,mfcc_var_9,339.1119652213407,6879.1922195555535,3.3762746875,31817.95636651358
56,mfcc_min_10,-77.61435532700003,45.745,-251.177,845.9470622877755
57,mfcc_max_10,69.33884136900002,236.926,-23.853,683.3374123268375
58,mfcc_var_10,309.1519429973302,10598.145463,1.5961442222222209,42933.31388038761
59,mfcc_min_11,-57.016659085000015,49.787,-187.341,339.96542452263185
60,mfcc_max_11,60.63077472299999,185.622,-75.458,345.29397184860926
61,mfcc_var_11,303.2007578814637,9599.902501466919,0.011074666666666679,26167.518663620995
62,pitch_min_0,0.0181385,1.0,0.0,0.0006449858137499998
63,pitch_max_0,0.9989600520000004,1.0,0.007,0.0004372346741572959
64,pitch_var_0,0.08831714034693877,0.25,0.0,0.0007846193681965418
65,pitch_min_1,0.018463225000000007,1.0,0.0,0.0006025687155993749
66,pitch_max_1,0.9986362860000003,1.0,0.007,0.000577016608126204
67,pitch_var_1,0.08557806645994673,0.25,0.0,0.000717277129762119
